Brittany,Turner ,F,8,11.0418396947463,,,,,,4.56327402234778,,1.79767275150777,,,
Joyce,Taylor ,F,8,,,02:21.81,,,,4.25338878120298,14.3993233427666,,,11.7864607303093,
Kimberly,Perez ,F,8,,42.9802897983005,03:09.21,07:24.24,13:17.07,13.799820177046,6.28114655992451,12.0651566362765,1.7778947192961,2.74377051166073,,
Heather,Martinez ,F,8,,28.8503198187041,,,09:22.87,8.16833384175806,,12.033884555469,1.54478807338916,4.30996079723774,14.5445844993687,
Ann,Rivera ,F,8,6.94734589365219,42.5869954003285,02:49.88,04:50.94,14:47.84,12.095738593048,,13.8161783793427,1.42707205146247,,19.3278883286915,
Angela,Cook ,F,8,,23.4951319299587,,06:09.00,15:28.36,7.97190521187,6.32833982168232,11.2730485408764,1.82073463675627,,20.5837570416303,
Mary,Myers ,F,8,9.47215971500547,23.8469978667837,,,16:04.15,9.18543875370304,4.46164937582992,11.320184775947,1.7172775953495,,12.8900703501865,
Madison,Edwards ,F,8,7.68060488510476,37.5272502111828,02:50.29,05:13.00,15:01.61,10.7779902253724,,14.5306564615228,2.03655174031875,4.46949625892757,19.577473380947,
Rachel,Bell ,F,8,,37.79380708595,02:44.63,07:17.80,16:24.08,,,13.7955078824606,,,15.5445647248266,
Alexis,Bell ,F,8,,,,06:08.26,,15.2723332774733,5.65192978457481,,,4.16866224703589,,
Jennifer,Fisher ,F,8,13.1468606658102,25.9094296494876,,07:28.74,,14.8756916779957,,,1.72830166177707,,17.38261963094,
Janice,Rogers ,F,8,12.4393202773348,37.4290053705483,02:18.76,05:19.18,11:41.73,,3.96665397921508,9.92079469403233,1.8889714014777,4.23589938225679,,
Virginia,Ward ,F,8,,22.4852267207906,02:10.83,04:39.61,,,3.84516105344079,9.22479465606376,1.20393167527038,2.75168997009175,21.5742732906119,
Rose,Hall ,F,8,11.9645671042447,,03:24.97,,11:34.56,9.40722203142533,4.43582565039339,,1.69632206849143,4.35578190563799,13.3651233411351,
Nicole,Hughes ,F,8,9.54545262834369,24.6046517593099,02:13.76,,13:39.40,7.91327184217917,4.53365988458961,12.4698520541803,1.34952982228286,4.45452417448584,,
Sharon,Johnson ,F,8,,,,,14:52.39,14.2821804748464,,,,,,
Rebecca,Bailey ,F,8,,29.4288917492811,,,,10.2546192759617,,12.4955547028866,1.15698735462254,,11.4392619483392,
Judy,Hernandez ,F,8,11.8323093091052,35.4374634751687,02:31.00,,11:31.81,,5.57523960561976,,1.59245467101355,,19.8412574142072,
Teresa,Sanchez ,F,8,7.23710600952286,26.208744323397,03:26.31,,,,,14.3760835552487,1.73451822478012,4.63118507787719,18.7648416633595,
Gloria,Price ,F,8,,36.1537086078083,,05:59.50,14:23.04,14.580605401896,,8.48084412983484,1.18159585483377,,18.1285765126697,
Sarah,Bennett ,F,8,13.681114348851,25.8971232781605,,05:36.25,10:20.98,,,,1.87662968382696,,20.3590789123304,
Ashley,Anderson ,F,8,,33.8965638740266,03:19.50,06:10.23,,,,,1.35555485986013,4.38121553013956,,
Sara,Murphy ,F,8,,28.5538126149941,03:04.38,07:27.10,09:53.97,9.05368193261807,4.59924780445557,11.3464883612615,,,20.5191146102571,
Karen,Peterson ,F,8,9.35542649377637,27.1301905181286,,06:45.86,,11.4582601452333,,11.73555246616,,4.47918180584136,17.8320503135901,
Susan,Sanders ,F,8,9.29891209099355,,,,15:02.30,9.9018652188812,4.49066724452657,11.318028182525,1.5797236794123,,,
