Andrew,Powell ,M,10,12.2517839612537,33.3095921991405,,,10:42.70,,7.31181846376304,,,,,
Paul,Smith ,M,10,7.73457565832672,,02:01.07,,11:44.39,8.96819558774461,4.46651585615349,15.0143270120524,2.16107791140758,4.37225875842028,16.0785764146543,
Harry,Wright ,M,9,6.42720747024678,33.2757323785474,,03:56.69,12:54.67,9.51676202586413,8.62801046901283,12.3856178539554,1.6672201855924,5.84139565568801,12.0519306586481,
Samuel,Lewis ,M,9,7.84137485031816,22.4327563217226,02:24.17,04:27.32,08:25.42,,,,,,,
Robert,Williams ,M,10,,,02:59.67,,11:05.96,12.7054792075214,8.17187260158806,10.7811304014742,,,13.0236588238458,
Jeremy,Allen ,M,10,6.85926459798232,26.493915203378,02:39.14,04:18.02,,12.642910397371,,10.901301097006,,3.64788418228339,14.4567642105615,
Gerald,Hernandez ,M,10,,,01:57.93,03:43.55,11:00.88,,4.8844047528606,9.05790819947297,,3.15580104983906,21.2404014899123,
Peter,Brooks ,M,9,,,02:16.73,,14:16.07,9.98551060662153,7.32287903227656,,2.02437646876301,5.9580374792612,22.6468714997271,
Brandon,Watson ,M,9,,33.186730037414,02:45.06,,,,5.8446813681312,16.7930475108194,2.17893992837083,,21.564856963404,
Logan,Gray ,M,10,,36.1252891283365,02:28.52,06:24.45,08:26.74,14.4288373331269,5.92731276622205,12.1999577416703,,5.54289983212519,14.1870597870056,
Ethan,Evans ,M,9,8.787068635983,,02:30.63,04:04.42,,13.746441147575,,15.0372450962104,2.2160164807902,3.13686978235952,17.411087179576,
Zachary,Thomas ,M,9,8.55101593519064,37.4418730089321,03:18.98,04:18.97,,,,16.5222583180469,,5.96960183548121,,
Willie,Barnes ,M,9,,38.0225781293721,,04:56.23,,13.8572747908528,4.94587266236895,,1.85555034448805,,13.2979928205349,
Carl,Stewart ,M,10,6.37322087792068,,01:57.63,03:59.68,,,5.34045916790543,,1.23852477984051,5.22838150548553,11.570289006467,
Dylan,Cox ,M,9,7.90361404881811,,02:04.61,04:44.25,,12.0280214463455,8.6750775786572,14.7533763400422,2.29536282985591,,16.6488396453458,
Jason,Bennett ,M,9,,32.0406626341915,,,14:12.99,,5.9422813757822,12.3120617292916,2.07691501244622,3.64825049996275,,
Frank,Harris ,M,10,,20.3972334353072,02:56.67,06:04.16,10:02.48,9.94342544820892,,14.1098409381356,,3.08331988133898,20.0793323149771,
Walter,Lee ,M,10,8.21717902051845,,,06:32.44,08:51.75,,,,2.42338109169615,,16.4865733739147,
Anthony,Cook ,M,10,7.26472888788341,,02:26.42,06:41.14,12:19.48,12.249202807677,7.28063164128568,13.3833299885442,1.3330749933214,,,
John,Morgan ,M,9,,29.1344923885745,02:46.25,,07:59.97,,,12.3185725824508,1.64927086725388,3.4335444040522,,
Aaron,Long ,M,9,6.78978047949126,,02:11.86,06:36.60,07:47.26,,7.53565001956772,17.6975855017264,,6.05361808347675,21.2941404461365,
Dennis,Martinez ,M,10,10.1145241110368,22.901734056423,02:06.08,,,11.2684946996224,,9.26278359392205,1.88630018768534,3.97904734598944,20.9875923544876,
Michael,Gonzalez ,M,9,9.54500987412424,22.3455977615926,02:54.50,05:30.93,13:26.31,7.83846490551253,7.48874068906154,16.1677029076608,2.33504578080734,5.78453966516411,18.8636045894098,
Joshua,Price ,M,9,7.46428266221643,25.3325801110528,,04:35.65,12:36.22,,7.18135684594274,14.8810489952132,1.50082735400986,,21.6794639996261,
Harold,Baker ,M,10,11.3127505643546,36.761563784773,02:03.76,,,11.7189957459814,7.15844448946984,,2.12990866119784,3.30499340170598,,
Joseph,Gonzalez ,M,10,,30.7449157943309,02:29.92,04:04.94,,10.8287103083439,6.91497194630516,15.361052850019,,3.73220126266527,13.2196296546833,
Johnny,Diaz ,M,9,,26.4220782878108,02:46.21,,08:07.31,,7.53517200100693,11.3980182256553,,,18.964212544152,
